"id_serial";"novelty_date";"available_date"
"4621";"2017-11-14";"2018-12-16"
"4750";"2015-12-22";"2016-12-20"
"5059";"2017-11-21";"2018-12-20"
"4531";"2015-09-12";"2016-12-19"
"5027";"2016-06-03";"2016-12-18"
"4860";"2016-02-25";"2016-12-18"
"5391";"2016-12-09";"2017-04-11"
"5289";"2016-11-01";"2016-12-18"
"5083";"2017-02-08";"2017-12-20"
"4994";"2018-02-07";"2019-12-22"
"5035";"2016-06-03";"2016-12-15"
"5369";"2017-07-31";"2017-10-22"
"5141";"2017-01-04";"2017-04-30"
"5145";"2017-08-29";"2017-12-10"
"5146";"2017-01-04";"2017-04-30"
"5147";"2017-01-04";"2017-04-30"
"5148";"2017-01-04";"2017-04-30"
"5149";"2017-01-04";"2017-04-30"
"4957";"2017-08-10";"2018-04-03"
"4959";"2016-04-21";"2016-12-10"
"5066";"2016-07-20";"2016-12-08"
"5258";"2017-12-15";"2018-03-08"
"5073";"2016-07-20";"2016-12-06"
"5351";"2016-11-23";"2016-12-23"
"5118";"2016-08-26";"2016-12-01"
"5153";"2017-06-29";"2017-10-31"
"5122";"2016-08-23";"2016-11-30"
"4838";"2016-02-09";"2016-11-30"
"4839";"2016-02-09";"2016-11-30"
"4982";"2018-05-03";"2018-11-26"
"5030";"2017-08-09";"2017-11-29"
"1428";"2018-03-22";"2018-11-25"
"5037";"2016-08-16";"2017-03-26"
"5036";"2016-11-25";"2016-12-10"
"4822";"2018-05-22";"2019-04-11"
"4938";"2017-11-13";"2018-10-04"
"4847";"2016-06-17";"2016-11-21"
"4898";"2016-03-31";"2016-11-19"
"4992";"2016-05-14";"2016-11-19"
"5287";"2016-11-04";"2017-04-07"
"4900";"2016-03-24";"2016-11-17"
"4995";"2016-05-18";"2016-11-17"
"4605";"2016-11-21";"2017-12-22"
"4606";"2016-11-21";"2017-12-22"
"4979";"2018-06-14";"2018-11-13"
"5286";"2017-07-13";"2017-11-02"
"4601";"2016-11-21";"2017-12-22"
"5065";"2016-07-07";"2016-11-14"
"5295";"2016-11-27";"2016-12-13"
"4845";"2016-06-16";"2016-11-20"
"5134";"2016-09-08";"2016-11-14"
"5294";"2018-06-26";"2018-12-30"
"4977";"2018-06-14";"2018-11-11"
"4960";"2016-07-05";"2016-11-13"
"4777";"2017-11-15";"2018-11-18"
"5133";"2016-09-06";"2016-11-13"
"5265";"2017-09-25";"2018-03-01"
"5126";"2016-10-08";"2016-12-16"
"5154";"2016-08-26";"2016-11-05"
"4973";"2016-09-11";"2016-11-03"
"4892";"2016-03-16";"2016-10-31"
"4928";"2018-01-16";"2018-04-30"
"5208";"2016-09-20";"2016-12-19"
"5194";"2016-09-15";"2016-10-31"
"5212";"2018-01-31";"2018-12-20"
"4923";"2016-04-30";"2016-10-31"
"4924";"2016-04-30";"2016-10-31"
"4925";"2018-01-16";"2018-04-30"
"5000";"2016-05-21";"2016-10-31"
"4926";"2016-07-09";"2016-10-31"
"5273";"2017-09-04";"2017-11-04"
"4927";"2016-07-09";"2016-10-31"
"5275";"2016-10-21";"2016-10-30"
"4894";"2016-03-31";"2016-10-30"
"4670";"2017-05-04";"2017-11-19"
"5174";"2016-09-09";"2016-10-30"
"5013";"2016-06-16";"2016-10-30"
"5014";"2016-05-26";"2016-10-30"
"5196";"2016-09-15";"2016-10-30"
"5016";"2016-05-26";"2016-10-30"
"5017";"2016-05-27";"2016-10-30"
"5018";"2016-05-26";"2016-10-30"
"5038";"2016-06-21";"2017-03-12"
"5128";"2017-08-31";"2017-11-01"
"5076";"2016-07-23";"2016-10-17"
"5074";"2017-07-14";"2017-11-02"
"4836";"2016-02-07";"2016-10-07"
"4852";"2017-02-28";"2017-10-02"
