"id_serial";"id_typ";"strava";"doprava";"ubytovani";"ubytovani_kategorie";"zeme";"destinace";"AVG(prumerna_cena)";"AVG(prumerna_cena_noc)";"AVG(delka)"
"1472";"7";"2";"1";"7";"0.00";"Rakousko";;"907.6000";"907.6000";"2.0000"
"3554";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"4490.7143";"1496.7143";"4.0000"
"3555";"3";"4";"1";"7";"0.00";"Česká republika";"Lázně Bohdaneč";"4141.4286";"1380.4286";"4.0000"
"3562";"3";"3";"1";"7";"0.00";"Česká republika:Česká republika, víkendové pobyty";"Mariánské Lázně";"11685.0000";"1669.0000";"8.0000"
"374";"7";"3";"1";"6";"2.00";"Česká republika";"Šumava";"683.0000";"683.0000";"2.0000"
"3629";"3";"3";"1";"7";"0.00";"Česká republika";"Konstantinovy Lázně";"2940.0000";"1470.0000";"3.0000"
"3863";"1";"3";"1";"7";"3.00";"Česká republika";"Lipno";"5250.0000";"1750.0000";"4.0000"
"1635";"7";"3";"1";"6";"2.00";"Česká republika";"Krkonoše";"1000.0000";"500.0000";"3.0000"
"3867";"7";"3";"1";"6";"2.00";"Česká republika";"Krkonoše";"1490.0000";"496.0000";"4.0000"
"608";"3";"3";"1";"7";"0.00";"Česká republika";"Poděbrady";"7370.0000";"1052.6000";"8.0000"
"2117";"3";"3";"1";"7";"0.00";"Česká republika";"Poděbrady";"3915.7143";"1304.8571";"4.0000"
"2452";"3";"3";"1";"7";"0.00";"Česká republika";"Poděbrady";"4358.0000";"1452.3000";"4.0000"
"3173";"3";"2";"1";"0";"3.00";"Slovensko";"Rajecké Teplice";"9901.2500";"1414.5000";"8.0000"
"3175";"3";"2";"1";"7";"0.00";"Slovensko";"Rajecké Teplice";"9987.5000";"1427.0000";"8.0000"
"671";"7";"3";"1";"6";"2.00";"Česká republika";"Bílé Karpaty";"3178.7273";"438.6061";"8.6061"
"2581";"7";"3";"1";"6";"2.00";"Česká republika";"Bílé Karpaty";"2902.8462";"414.3846";"8.0000"
"1864";"2";"2";"3";"6";"2.00";"Indie";;"34614.4898";"5768.5306";"7.0000"
"227";"1";"1";"1";"7";"0.00";"Česká republika";"Přehrada Seč";"870.0000";"870.0000";"2.0000"
"1700";"3";"3";"1";"6";"2.00";"Česká republika";"Janské lázně";"6850.0000";"1141.0000";"7.0000"
"1702";"3";"3";"1";"6";"2.00";"Česká republika";"Janské lázně";"3350.0000";"1116.0000";"4.0000"
"1912";"3";"3";"1";"6";"2.00";"Česká republika";"Janské lázně";"2350.0000";"1175.0000";"3.0000"
"3646";"7";"3";"1";"6";"3.00";"Slovensko";"Vysoké Tatry";"5428.0000";"1809.0000";"4.0000"
"3648";"7";"3";"1";"7";"0.00";"Slovensko";"Vysoké Tatry";"3440.0000";"1146.0000";"4.0000"
"3399";"7";"3";"1";"6";"3.00";"Slovensko";"Nízké Tatry";"8748.0000";"2916.0000";"4.0000"
"3663";"3";"1";"1";"7";"0.00";"Slovensko";"Nízké Tatry";"4238.0000";"1059.0000";"5.0000"
"3664";"7";"3";"1";"6";"2.00";"Česká republika";"Krkonoše";"2700.0000";"1350.0000";"3.0000"
"3665";"7";"3";"1";"6";"2.00";"Česká republika";"Krkonoše";"16850.0000";"3370.0000";"6.0000"
"591";"3";"1";"1";"7";"0.00";"Slovensko";"Velký Meder";"654.0000";"384.0000";"2.6000"
"970";"3";"3";"1";"6";"2.00";"Maďarsko";"Mosonmagyaróvár";"38185.8235";"5161.8235";"8.1765"
"3365";"3";"3";"1";"7";"0.00";"Maďarsko";"Mosonmagyaróvár";"5270.1333";"1676.8667";"4.4667"
"3808";"3";"3";"1";"6";"2.00";"Maďarsko";"Mosonmagyaróvár";"34944.3333";"6043.2222";"6.5556"
"1990";"2";"3";"2";"6";"2.00";"Slovinsko";;"7279.4737";"1747.7368";"5.2105"
"707";"2";"2";"2";"7";"3.00";"Itálie";;"5435.4545";"1675.9773";"4.6364"
"1687";"6";"1";"2";"7";"0.00";"Německo";;"544.6154";"544.6154";"1.0000"
